Offer Image,Offer Title,Offer Description,Coupon Code,Offer Link,Eligible Credit Cards
https://www.cleartrip.com/all-offers/wp-content/uploads/2023/11/idfc-e1715077608337.jpg,Get upto 15% off,Hotels with IDFC Bank with EMI on Credit Cards,IDFCEMI,https://www.cleartrip.com/all-offers/idfc-first-bank-credit-cards-hotels-campaign/,IDFC First Ashva Credit Card
https://www.cleartrip.com/all-offers/wp-content/uploads/2023/11/idfc-e1715077608337.jpg,Get upto 15% off,Hotels with IDFC Bank with EMI on Credit Cards,IDFCEMI,https://www.cleartrip.com/all-offers/idfc-first-bank-credit-cards-hotels-campaign/,IDFC First Wow Credit Card
https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/SBI-Logo-1.png,Flat 20% off on SBI Cards,Applicable on Credit Cards & EMI Transactions!,SBICC | SBIEMI,https://www.cleartrip.com/all-offers/sbi-credit-cards-weekly-campaign-2/,Tata Neu Plus Visa SBI Card
https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/SBI-Logo-1.png,Flat 20% off on SBI Cards,Applicable on Credit Cards & EMI Transactions!,SBICC | SBIEMI,https://www.cleartrip.com/all-offers/sbi-credit-cards-weekly-campaign-2/,Tata Neu Plus SBI Card
,,,,,
https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/SBI-Logo-1.png,Flat 20% off on SBI Cards,Applicable on Credit Cards & EMI Transactions!,SBICC | SBIEMI,https://www.cleartrip.com/all-offers/sbi-credit-cards-weekly-campaign-2/,Tata Neu Infinity SBI Card
https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/SBI-Logo-1.png,Flat 20% off on SBI Cards,Applicable on Credit Cards & EMI Transactions!,SBICC | SBIEMI,https://www.cleartrip.com/all-offers/sbi-credit-cards-weekly-campaign-2/,Tata Neu Infinity RuPay SBI Card
https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/SBI-Logo-1.png,Flat 20% off on SBI Cards,Applicable on Credit Cards & EMI Transactions!,SBICC | SBIEMI,https://www.cleartrip.com/all-offers/sbi-credit-cards-weekly-campaign-2/,KrisFlyer SBI Card
https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/SBI-Logo-1.png,Flat 20% off on SBI Cards,Applicable on Credit Cards & EMI Transactions!,SBICC | SBIEMI,https://www.cleartrip.com/all-offers/sbi-credit-cards-weekly-campaign-2/,Etihad Guest SBI Card
https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/SBI-Logo-1.png,Flat 20% off on SBI Cards,Applicable on Credit Cards & EMI Transactions!,SBICC | SBIEMI,https://www.cleartrip.com/all-offers/sbi-credit-cards-weekly-campaign-2/,SBI Card Prime
https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/SBI-Logo-1.png,Flat 20% off on SBI Cards,Applicable on Credit Cards & EMI Transactions!,SBICC | SBIEMI,https://www.cleartrip.com/all-offers/sbi-credit-cards-weekly-campaign-2/,PSB SBI Card Prime
https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/SBI-Logo-1.png,Flat 20% off on SBI Cards,Applicable on Credit Cards & EMI Transactions!,SBICC | SBIEMI,https://www.cleartrip.com/all-offers/sbi-credit-cards-weekly-campaign-2/,IRCTC SBI Card Rupay
https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/SBI-Logo-1.png,Flat 20% off on SBI Cards,Applicable on Credit Cards & EMI Transactions!,SBICC | SBIEMI,https://www.cleartrip.com/all-offers/sbi-credit-cards-weekly-campaign-2/,Etihad Guest Premier SBI Card
https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/SBI-Logo-1.png,Flat 20% off on SBI Cards,Applicable on Credit Cards & EMI Transactions!,SBICC | SBIEMI,https://www.cleartrip.com/all-offers/sbi-credit-cards-weekly-campaign-2/,Air India SBI Signature Card
https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/SBI-Logo-1.png,Flat 20% off on SBI Cards,Applicable on Credit Cards & EMI Transactions!,SBICC | SBIEMI,https://www.cleartrip.com/all-offers/sbi-credit-cards-weekly-campaign-2/,Spar SBI Card Prime
https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/SBI-Logo-1.png,Flat 20% off on SBI Cards,Applicable on Credit Cards & EMI Transactions!,SBICC | SBIEMI,https://www.cleartrip.com/all-offers/sbi-credit-cards-weekly-campaign-2/,UCO Bank SBI Card Elite
https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/SBI-Logo-1.png,Flat 20% off on SBI Cards,Applicable on Credit Cards & EMI Transactions!,SBICC | SBIEMI,https://www.cleartrip.com/all-offers/sbi-credit-cards-weekly-campaign-2/,Shaurya SBI Card
https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/SBI-Logo-1.png,Flat 20% off on SBI Cards,Applicable on Credit Cards & EMI Transactions!,SBICC | SBIEMI,https://www.cleartrip.com/all-offers/sbi-credit-cards-weekly-campaign-2/,SBI Card Prime Advantage
https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/SBI-Logo-1.png,Flat 20% off on SBI Cards,Applicable on Credit Cards & EMI Transactions!,SBICC | SBIEMI,https://www.cleartrip.com/all-offers/sbi-credit-cards-weekly-campaign-2/,SBI Card Miles
https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/SBI-Logo-1.png,Flat 20% off on SBI Cards,Applicable on Credit Cards & EMI Transactions!,SBICC | SBIEMI,https://www.cleartrip.com/all-offers/sbi-credit-cards-weekly-campaign-2/,Ola Money SBI Credit Card
